FECHA CORTE,DEPTORESIDENCIA,CANTIDAD CREDITOS AL DIA,CANTIDAD CREDITOS CON MORA MENOR A 90 DIAS,CANTIDAD CREDITOS MORA MAYOR A 90 DIAS,TOTAL CREDITOS,SALDO CAPITAL,SALDO TOTAL,SALDO MORA,INDICADOR CARTERA VENCIDA,EPOCA CARTERA
09/30/2022 12:00:00 AM,VALLE DEL CAUCA,13172,2782,1223,17177,"$ 340,037,431,727","$ 348,926,920,836","$ 5,702,782,950",0.1149,AMORTIZACION
09/30/2022 12:00:00 AM,ANTIOQUIA,10770,2654,969,14393,"$ 234,288,286,453","$ 240,799,753,854","$ 3,954,527,491",0.1127,AMORTIZACION
09/30/2022 12:00:00 AM,CALDAS,3101,648,260,4009,"$ 58,850,885,759","$ 60,493,153,616","$ 918,375,867",0.1115,AMORTIZACION
09/30/2022 12:00:00 AM,NARINO,4578,945,391,5914,"$ 70,627,675,758","$ 72,310,301,772","$ 1,307,553,836",0.1059,AMORTIZACION
09/30/2022 12:00:00 AM,SIN INFORMACION,44,7,9,60,"$ 814,016,364","$ 894,373,264","$ 44,522,972",0.1036,AMORTIZACION
09/30/2022 12:00:00 AM,CUNDINAMARCA,8398,1702,621,10721,"$ 202,171,732,377","$ 211,174,283,542","$ 2,912,705,608",0.0941,AMORTIZACION
09/30/2022 12:00:00 AM,DISTRITO CAPITAL,38316,7042,2579,47937,"$ 1,013,697,054,423","$ 1,043,974,186,866","$ 14,071,140,735",0.0883,AMORTIZACION
09/30/2022 12:00:00 AM,VAUPES,17,1,0,18,"$ 290,354,054","$ 320,241,207","$ 57,457",0,ESTUDIOS
12/31/2022 12:00:00 AM,BOYACA,3471,533,322,4326,"$ 105,421,434,504","$ 126,925,941,109","$ 816,224,180",0.1347,ESTUDIOS
12/31/2022 12:00:00 AM,CASANARE,1650,211,145,2006,"$ 39,834,368,365","$ 47,443,203,160","$ 261,792,235",0.1273,ESTUDIOS
12/31/2022 12:00:00 AM,ARAUCA,738,112,69,919,"$ 17,292,580,337","$ 19,869,804,177","$ 114,997,494",0.1209,ESTUDIOS
12/31/2022 12:00:00 AM,CHOCO,300,44,25,369,"$ 7,260,473,457","$ 8,123,610,803","$ 37,802,093",0.1194,ESTUDIOS
12/31/2022 12:00:00 AM,VICHADA,38,7,2,47,"$ 735,393,002","$ 816,381,327","$ 4,658,617",0.1191,ESTUDIOS
12/31/2022 12:00:00 AM,ATLANTICO,17711,2187,1637,21535,"$ 545,135,818,124","$ 618,728,541,028","$ 3,640,189,718",0.1191,ESTUDIOS
12/31/2022 12:00:00 AM,META,2660,322,199,3181,"$ 71,851,090,837","$ 82,266,054,157","$ 456,973,447",0.1086,ESTUDIOS
12/31/2022 12:00:00 AM,SANTANDER,6516,821,445,7782,"$ 187,193,885,688","$ 221,750,667,339","$ 1,179,338,639",0.1043,ESTUDIOS
12/31/2022 12:00:00 AM,VALLE DEL CAUCA,11625,1610,708,13943,"$ 376,422,878,959","$ 453,365,276,965","$ 2,256,760,107",0.0976,ESTUDIOS
12/31/2022 12:00:00 AM,GUAVIARE,233,40,14,287,"$ 5,251,177,273","$ 5,910,072,649","$ 24,487,211",0.0973,ESTUDIOS
12/31/2022 12:00:00 AM,NORTE DE SANTANDER,2654,288,197,3139,"$ 77,130,633,332","$ 89,591,052,424","$ 391,165,897",0.0944,ESTUDIOS
12/31/2022 12:00:00 AM,QUINDIO,1199,146,68,1413,"$ 29,389,044,555","$ 35,570,213,282","$ 169,308,267",0.0923,ESTUDIOS
12/31/2022 12:00:00 AM,DISTRITO CAPITAL,33154,3846,1957,38957,"$ 1,110,504,170,749","$ 1,349,119,871,597","$ 6,843,598,604",0.0912,ESTUDIOS
12/31/2022 12:00:00 AM,CALDAS,1785,229,108,2122,"$ 44,678,508,799","$ 54,198,750,690","$ 269,066,864",0.0893,ESTUDIOS
12/31/2022 12:00:00 AM,CAUCA,1776,168,105,2049,"$ 40,298,826,607","$ 46,657,953,322","$ 207,678,061",0.0877,ESTUDIOS
12/31/2022 12:00:00 AM,TOLIMA,2644,300,166,3110,"$ 66,768,784,837","$ 78,642,013,486","$ 341,643,816",0.0869,ESTUDIOS
12/31/2022 12:00:00 AM,RISARALDA,1928,186,116,2230,"$ 44,902,424,689","$ 53,957,285,853","$ 301,305,622",0.0863,ESTUDIOS
12/31/2022 12:00:00 AM,MAGDALENA,4408,390,280,5078,"$ 106,992,002,762","$ 119,751,622,958","$ 585,424,299",0.086,ESTUDIOS
12/31/2022 12:00:00 AM,LA GUAJIRA,2945,324,214,3483,"$ 95,853,712,337","$ 107,377,685,461","$ 430,145,319",0.0843,ESTUDIOS
12/31/2022 12:00:00 AM,CUNDINAMARCA,10138,929,444,11511,"$ 263,320,978,992","$ 313,746,196,954","$ 1,458,724,548",0.0815,ESTUDIOS
12/31/2022 12:00:00 AM,HUILA,2021,206,114,2341,"$ 50,734,279,743","$ 59,125,179,195","$ 268,679,716",0.0811,ESTUDIOS
12/31/2022 12:00:00 AM,ANTIOQUIA,10010,1097,484,11591,"$ 255,903,552,483","$ 317,110,055,604","$ 1,362,417,573",0.0808,ESTUDIOS
12/31/2022 12:00:00 AM,CESAR,3998,310,183,4491,"$ 102,751,474,160","$ 114,901,316,935","$ 421,522,696",0.0682,ESTUDIOS
12/31/2022 12:00:00 AM,AMAZONAS,83,6,5,94,"$ 2,449,784,787","$ 2,856,436,476","$ 15,733,175",0.0623,ESTUDIOS
12/31/2022 12:00:00 AM,CORDOBA,17016,1002,590,18608,"$ 364,868,274,360","$ 403,251,854,864","$ 1,129,685,099",0.0615,ESTUDIOS
12/31/2022 12:00:00 AM,CAQUETA,509,53,25,587,"$ 11,946,651,924","$ 13,587,691,158","$ 52,504,330",0.0608,ESTUDIOS
12/31/2022 12:00:00 AM,NARINO,4863,432,212,5507,"$ 104,575,154,277","$ 118,887,073,915","$ 370,483,092",0.0602,ESTUDIOS
